Season,Date,HID,AID,Open,OddsH,OddsA,OddsD,H,A,D,HS,AS,Special,H_PEN,A_PEN,H_MAJ,A_MAJ,H_PPG,A_PPG,H_SHG,A_SHG,H_SV,A_SV,H_PIM,A_PIM,H_SOG,A_SOG,H_BLK_S,A_BLK_S,H_HIT,A_HIT,H_BLK,A_BLK,H_FO,A_FO,H_P1,A_P1,H_P2,A_P2,H_P3,A_P3,H_OT,A_OT,H_SO,A_SO,market_type,has_adv_stats
1990,1990-09-21,24,16,1990-09-20,1.5,2.98,4.28,1,0,0,6,2,B,6,5,0,0,2.0,0.0,0.0,0.0,23.0,18.0,12,10,,,,,,,,,,,3,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-21,15,18,1990-09-20,1.51,2.93,4.31,1,0,0,6,2,B,4,7,0,0,2.0,1.0,0.0,0.0,27.0,52.0,8,14,,,,,,,,,,,3,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-21,10,22,1990-09-20,1.65,2.42,4.32,1,0,0,4,2,B,5,1,0,0,0.0,0.0,0.0,0.0,28.0,0.0,10,2,,,,,,,,,,,1,0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-21,4,5,1990-09-20,1.62,2.53,4.26,1,0,0,5,3,B,5,4,0,0,2.0,1.0,0.0,1.0,32.0,28.0,10,8,,,,,,,,,,,1,1,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-21,19,0,1990-09-20,1.6,2.56,4.34,0,1,0,1,4,B,1,3,0,0,0.0,0.0,0.0,0.0,27.0,24.0,2,6,,,,,,,,,,,1,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-21,13,23,1990-09-20,1.57,2.7,4.25,1,0,0,5,2,B,3,5,0,1,1.0,1.0,0.0,0.0,33.0,31.0,6,20,,,,,,,,,,,2,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-25,19,24,1990-09-24,1.52,2.86,4.32,0,0,1,4,4,OT,4,5,0,0,2.0,0.0,0.0,0.0,35.0,31.0,8,10,,,,,,,,,,,1,1,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-25,5,10,1990-09-24,1.59,2.61,4.3,1,0,0,4,2,B,3,4,0,0,1.0,1.0,0.0,0.0,26.0,42.0,6,8,,,,,,,,,,,1,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-25,0,18,1990-09-24,1.45,3.21,4.38,1,0,0,7,4,B,5,8,0,0,2.0,1.0,0.0,0.0,30.0,36.0,10,16,,,,,,,,,,,4,2,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-25,23,15,1990-09-24,1.65,2.45,4.28,0,0,1,3,3,OT,1,2,0,0,0.0,1.0,0.0,0.0,41.0,42.0,2,4,,,,,,,,,,,0,2,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-28,24,0,1990-09-27,1.7,2.33,4.32,1,0,0,4,3,B,4,6,0,1,1.0,1.0,0.0,0.0,17.0,37.0,8,22,,,,,,,,,,,2,2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-28,13,5,1990-09-27,1.61,2.56,4.27,1,0,0,6,3,B,6,6,1,1,1.0,0.0,0.0,0.0,34.0,38.0,22,22,,,,,,,,,,,4,0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-28,10,16,1990-09-27,1.46,3.18,4.32,1,0,0,5,1,B,3,5,0,0,2.0,0.0,0.0,0.0,35.0,9.0,6,10,,,,,,,,,,,1,0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-28,15,22,1990-09-27,1.61,2.53,4.33,1,0,0,5,4,B,5,8,0,0,1.0,0.0,1.0,0.0,28.0,38.0,10,16,,,,,,,,,,,3,1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-28,18,23,1990-09-27,1.54,2.81,4.25,1,0,0,2,1,B,4,5,0,0,0.0,0.0,0.0,0.0,38.0,31.0,8,10,,,,,,,,,,,0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-09-28,4,19,1990-09-27,1.64,2.47,4.27,1,0,0,5,2,B,4,5,0,0,0.0,1.0,1.0,0.0,33.0,17.0,8,10,,,,,,,,,,,2,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-10-02,19,10,1990-10-01,1.59,2.62,4.31,0,1,0,0,3,B,4,3,0,1,0.0,0.0,0.0,0.0,24.0,24.0,8,16,,,,,,,,,,,0,0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3way,False
1990,1990-10-02,16,13,1990-10-01,1.59,2.63,4.23,0,1,0,0,2,B,5,5,0,0,0.0,0.0,0.0,0.0,29.0,45.0,10,10,,,,,,,,,,,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3way,False
