Season,Date,HID,AID,Open,OddsH,OddsA,OddsD,H,A,D,HS,AS,Special,H_PEN,A_PEN,H_MAJ,A_MAJ,H_PPG,A_PPG,H_SHG,A_SHG,H_SV,A_SV,H_PIM,A_PIM,H_SOG,A_SOG,H_BLK_S,A_BLK_S,H_HIT,A_HIT,H_BLK,A_BLK,H_FO,A_FO,H_P1,A_P1,H_P2,A_P2,H_P3,A_P3,H_OT,A_OT,H_SO,A_SO,market_type,has_adv_stats
2002,2002-09-13,24,22,2002-09-12,1.43,2.09,,1,0,0,3,1,B,6,8,0,0,0.0,1.0,1.0,0.0,26.0,39.0,12,16,,,,,,,,,,,1,1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-13,20,0,2002-09-12,1.38,2.23,,0,1,0,1,3,B,8,7,0,0,0.0,2.0,0.0,0.0,40.0,31.0,16,14,,,,,,,,,,,0,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-13,5,10,2002-09-12,1.62,1.72,,0,1,0,1,2,B,10,12,0,0,1.0,0.0,0.0,1.0,33.0,30.0,20,24,,,,,,,,,,,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-13,16,18,2002-09-12,1.63,1.71,,0,1,0,3,4,B,12,14,2,0,2.0,2.0,0.0,0.0,30.0,30.0,38,28,,,,,,,,,,,2,1,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-13,15,23,2002-09-12,1.18,3.4,,1,0,0,8,2,B,10,11,1,0,3.0,0.0,1.0,0.0,23.0,32.0,30,22,,,,,,,,,,,4,0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-13,19,25,2002-09-12,1.3,2.55,,1,0,0,2,1,B,3,6,0,0,0.0,0.0,0.0,0.0,21.0,26.0,6,12,,,,,,,,,,,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-13,8,9,2002-09-12,1.63,1.71,,1,0,0,3,1,B,10,10,1,1,1.0,1.0,0.0,0.0,36.0,36.0,30,30,,,,,,,,,,,0,0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-14,23,19,2002-09-13,2.2,1.39,,1,0,0,4,1,B,14,14,1,0,3.0,1.0,0.0,0.0,28.0,24.0,38,28,,,,,,,,,,,0,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-15,10,24,2002-09-14,1.57,1.8,,0,1,0,2,3,B,5,9,0,0,2.0,2.0,0.0,0.0,29.0,31.0,10,18,,,,,,,,,,,0,1,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-15,25,5,2002-09-14,1.17,3.44,,1,0,0,4,3,B,11,11,1,2,3.0,2.0,0.0,0.0,28.0,44.0,32,47,,,,,,,,,,,2,1,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-15,9,20,2002-09-14,1.18,3.35,,1,0,0,3,2,PS,7,18,0,1,1.0,1.0,0.0,0.0,41.0,34.0,14,56,,,,,,,,,,,0,0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2way,False
2002,2002-09-15,18,8,2002-09-14,1.28,2.64,,0,1,0,2,3,OT,7,9,0,0,2.0,1.0,0.0,0.0,26.0,43.0,14,18,,,,,,,,,,,1,0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2way,False
2002,2002-09-15,22,15,2002-09-14,1.35,2.35,,0,1,0,0,2,B,5,9,0,0,0.0,1.0,0.0,0.0,31.0,31.0,10,18,,,,,,,,,,,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-15,0,16,2002-09-14,1.36,2.3,,1,0,0,3,0,B,10,11,0,0,2.0,0.0,0.0,0.0,29.0,33.0,20,22,,,,,,,,,,,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-17,24,18,2002-09-16,1.44,2.06,,1,0,0,8,4,B,11,9,0,0,2.0,4.0,0.0,0.0,30.0,24.0,22,18,,,,,,,,,,,1,1,3.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-17,20,25,2002-09-16,1.5,1.93,,0,1,0,1,3,B,6,14,0,0,0.0,1.0,0.0,0.0,31.0,42.0,12,28,,,,,,,,,,,0,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-17,16,22,2002-09-16,1.57,1.8,,1,0,0,4,2,B,12,11,2,0,2.0,1.0,0.0,0.0,35.0,38.0,44,22,,,,,,,,,,,1,2,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-17,5,15,2002-09-16,1.93,1.5,,0,1,0,1,5,B,12,15,0,0,0.0,3.0,0.0,1.0,30.0,39.0,24,30,,,,,,,,,,,0,2,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-17,19,10,2002-09-16,1.23,2.97,,0,1,0,5,6,PS,7,11,1,1,2.0,3.0,0.0,0.0,32.0,43.0,39,32,,,,,,,,,,,0,1,1.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,2way,False
2002,2002-09-17,8,23,2002-09-16,1.17,3.44,,1,0,0,4,2,B,14,18,1,0,0.0,2.0,2.0,0.0,42.0,32.0,32,36,,,,,,,,,,,2,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-17,9,0,2002-09-16,1.2,3.19,,1,0,0,2,1,B,10,7,0,0,0.0,1.0,0.0,0.0,37.0,29.0,20,14,,,,,,,,,,,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-20,10,9,2002-09-19,1.81,1.57,,1,0,0,2,1,B,9,10,0,0,2.0,0.0,0.0,0.0,25.0,38.0,18,20,,,,,,,,,,,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-20,23,20,2002-09-19,1.67,1.66,,1,0,0,5,4,PS,9,14,1,1,3.0,1.0,1.0,1.0,28.0,40.0,28,38,,,,,,,,,,,1,2,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,2way,False
2002,2002-09-20,22,5,2002-09-19,1.17,3.5,,0,1,0,3,4,OT,7,8,0,0,1.0,2.0,1.0,0.0,31.0,39.0,14,16,,,,,,,,,,,2,0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,2way,False
2002,2002-09-20,0,8,2002-09-19,1.46,2.01,,1,0,0,2,1,OT,6,11,0,0,1.0,0.0,0.0,0.0,21.0,48.0,12,22,,,,,,,,,,,0,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2way,False
2002,2002-09-20,25,16,2002-09-19,1.28,2.66,,1,0,0,4,1,B,6,8,0,1,1.0,1.0,0.0,0.0,28.0,32.0,12,26,,,,,,,,,,,2,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-20,15,24,2002-09-19,1.41,2.15,,0,1,0,0,1,PS,9,11,2,0,0.0,0.0,0.0,1.0,32.0,32.0,38,22,,,,,,,,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2way,False
2002,2002-09-21,0,18,2002-09-20,1.5,1.93,,1,0,0,3,2,PS,5,6,0,0,1.0,0.0,1.0,0.0,31.0,43.0,10,12,,,,,,,,,,,0,0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,2way,False
2002,2002-09-22,20,22,2002-09-21,1.51,1.91,,1,0,0,6,1,B,10,12,0,0,3.0,0.0,1.0,0.0,39.0,42.0,20,24,,,,,,,,,,,1,0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-22,9,23,2002-09-21,1.1,4.5,,1,0,0,4,3,B,10,13,1,0,2.0,2.0,1.0,0.0,16.0,36.0,30,26,,,,,,,,,,,0,0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-22,19,5,2002-09-21,1.15,3.73,,0,1,0,2,5,B,11,13,0,0,2.0,1.0,0.0,0.0,33.0,43.0,22,26,,,,,,,,,,,0,1,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-22,24,25,2002-09-21,1.34,2.38,,1,0,0,2,1,B,9,7,1,0,1.0,0.0,0.0,0.0,30.0,29.0,28,14,,,,,,,,,,,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-22,16,15,2002-09-21,1.56,1.81,,1,0,0,1,0,B,8,10,0,3,0.0,0.0,0.0,0.0,37.0,30.0,16,50,,,,,,,,,,,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-22,8,10,2002-09-21,1.29,2.59,,1,0,0,2,1,OT,5,9,0,0,0.0,0.0,1.0,0.0,34.0,41.0,10,18,,,,,,,,,,,0,0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2way,False
2002,2002-09-24,23,0,2002-09-23,1.78,1.59,,0,1,0,1,3,B,10,11,0,0,1.0,2.0,0.0,1.0,30.0,22.0,20,22,,,,,,,,,,,0,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-24,22,8,2002-09-23,1.47,2.0,,1,0,0,1,0,B,6,6,0,0,0.0,0.0,0.0,0.0,26.0,29.0,12,12,,,,,,,,,,,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-24,5,24,2002-09-23,1.95,1.49,,1,0,0,8,3,B,3,7,0,0,2.0,1.0,0.0,0.0,28.0,28.0,6,14,,,,,,,,,,,3,1,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-24,25,9,2002-09-23,1.52,1.88,,1,0,0,2,1,OT,9,9,0,0,0.0,0.0,0.0,0.0,42.0,27.0,18,18,,,,,,,,,,,1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2way,False
2002,2002-09-24,10,16,2002-09-23,1.4,2.16,,1,0,0,4,1,B,15,16,1,4,3.0,1.0,1.0,0.0,33.0,42.0,40,97,,,,,,,,,,,2,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-24,19,15,2002-09-23,1.38,2.22,,1,0,0,6,1,B,11,11,0,0,4.0,1.0,0.0,0.0,34.0,34.0,22,22,,,,,,,,,,,1,1,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2way,False
2002,2002-09-24,18,20,2002-09-23,1.28,2.65,,1,0,0,4,3,B,8,8,0,0,1.0,2.0,0.0,0.0,27.0,43.0,16,16,,,,,,,,,,,1,1,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2way,False
