Season,HID,AID,OddsH,OddsA,OddsD,H,A,D,HS,AS,Special,H_PEN,A_PEN,H_MAJ,A_MAJ,H_PPG,A_PPG,H_SHG,A_SHG,H_SV,A_SV,H_PIM,A_PIM,H_SOG,A_SOG,H_BLK_S,A_BLK_S,H_HIT,A_HIT,H_BLK,A_BLK,H_FO,A_FO,H_P1,A_P1,H_P2,A_P2,H_P3,A_P3,H_OT,A_OT,H_SO,A_SO,ELO_H,ELO_A,H_gp_before,H_gf_mean_before,H_ga_mean_before,A_gp_before,A_gf_mean_before,A_ga_mean_before,ELO_diff,gf_mean_diff,ga_mean_diff,gp_diff
1990,24,16,1.5,2.98,4.28,1,0,0,6,2,0,6,5,0,0.0,2.0,0.0,0.0,0.0,23.0,18.0,12,10,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,3,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,15,18,1.51,2.93,4.31,1,0,0,6,2,0,4,7,0,0.0,2.0,1.0,0.0,0.0,27.0,52.0,8,14,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,3,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,10,22,1.65,2.42,4.32,1,0,0,4,2,0,5,1,0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,10,2,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,1,0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,4,5,1.62,2.53,4.26,1,0,0,5,3,0,5,4,0,0.0,2.0,1.0,0.0,1.0,32.0,28.0,10,8,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,1,1,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,19,0,1.6,2.56,4.34,0,1,0,1,4,0,1,3,0,0.0,0.0,0.0,0.0,0.0,27.0,24.0,2,6,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,1,1,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,13,23,1.57,2.7,4.25,1,0,0,5,2,0,3,5,0,1.0,1.0,1.0,0.0,0.0,33.0,31.0,6,20,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,2,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,16,4,1.57,2.72,4.23,1,0,0,3,2,0,3,2,0,2.5,2.0,0.0,0.0,0.0,29.0,32.0,6,40,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,1,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1490.0,1510.0,1.0,0.4,1.2000000000000002,1.0,1.0,0.6000000000000001,-20.0,-0.6,0.6000000000000001,0.0
1990,19,24,1.52,2.86,4.32,0,0,1,4,4,1,4,5,0,0.0,2.0,0.0,0.0,0.0,35.0,31.0,8,10,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,1,1,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1490.0,1510.0,1.0,0.2,0.8,1.0,1.2000000000000002,0.4,-20.0,-1.0000000000000002,0.4,0.0
1990,5,10,1.59,2.61,4.3,1,0,0,4,2,0,3,4,0,0.0,1.0,1.0,0.0,0.0,26.0,42.0,6,8,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,1,2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1490.0,1510.0,1.0,0.6000000000000001,1.0,1.0,0.8,0.4,-20.0,-0.19999999999999996,0.6,0.0
1990,0,18,1.45,3.21,4.38,1,0,0,7,4,0,5,8,0,0.0,2.0,1.0,0.0,0.0,30.0,36.0,10,16,31.0,27.0,9.0,9.0,15.0,13.0,8.0,8.0,35.0,32.0,4,2,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1510.0,1490.0,1.0,0.8,0.2,1.0,0.4,1.2000000000000002,20.0,0.4,-1.0000000000000002,0.0
